sample	family_size	count	fraction
tumor	1	3039426	0.268771	1
tumor	2	1242739	0.109893	0.731229
tumor	3	1002332	0.088635	0.621335
tumor	4	854799	0.075588	0.532701
tumor	5	741020	0.065527	0.457112
tumor	6	643325	0.056888	0.391585
tumor	7	555658	0.049136	0.334697
tumor	8	479384	0.042391	0.285561
tumor	9	410353	0.036287	0.24317
tumor	10	350681	0.03101	0.206883
tumor	11	296577	0.026226	0.175873
tumor	12	250522	0.022153	0.149647
tumor	13	212113	0.018757	0.127494
tumor	14	178371	0.015773	0.108737
tumor	15	150464	0.013305	0.092964
tumor	16	126994	0.01123	0.079659
tumor	17	108062	0.009556	0.068429
tumor	18	90927	0.008041	0.058873
tumor	19	77549	0.006858	0.050833
tumor	20	65679	0.005808	0.043975
tumor	21	56352	0.004983	0.038167
tumor	22	48148	0.004258	0.033184
tumor	23	41269	0.003649	0.028926
tumor	24	35824	0.003168	0.025277
tumor	25	30568	0.002703	0.022109
tumor	26	26779	0.002368	0.019406
tumor	27	22939	0.002028	0.017038
tumor	28	19871	0.001757	0.01501
tumor	29	17428	0.001541	0.013252
tumor	30	15390	0.001361	0.011711
tumor	31	13355	0.001181	0.01035
tumor	32	11617	0.001027	0.009169
tumor	33	10295	0.00091	0.008142
tumor	34	9026	0.000798	0.007232
tumor	35	7903	0.000699	0.006434
tumor	36	7026	0.000621	0.005735
tumor	37	6325	0.000559	0.005114
tumor	38	5453	0.000482	0.004554
tumor	39	4811	0.000425	0.004072
tumor	40	4206	0.000372	0.003647
tumor	41	3899	0.000345	0.003275
tumor	42	3296	0.000291	0.00293
tumor	43	3102	0.000274	0.002638
tumor	44	2638	0.000233	0.002364
tumor	45	2408	0.000213	0.002131
tumor	46	2174	0.000192	0.001918
tumor	47	1886	0.000167	0.001726
tumor	48	1677	0.000148	0.001559
tumor	49	1520	0.000134	0.001411
tumor	50	1361	0.00012	0.001276
tumor	51	1284	0.000114	0.001156
tumor	52	1164	0.000103	0.001042
tumor	53	961	0.000085	0.000939
tumor	54	903	0.00008	0.000854
tumor	55	798	0.000071	0.000775
tumor	56	755	0.000067	0.000704
tumor	57	662	0.000059	0.000637
tumor	58	595	0.000053	0.000579
tumor	59	527	0.000047	0.000526
tumor	60	514	0.000045	0.000479
tumor	61	450	0.00004	0.000434
tumor	62	409	0.000036	0.000394
tumor	63	302	0.000027	0.000358
tumor	64	335	0.00003	0.000331
tumor	65	266	0.000024	0.000302
tumor	66	262	0.000023	0.000278
tumor	67	234	0.000021	0.000255
tumor	68	218	0.000019	0.000234
tumor	69	216	0.000019	0.000215
tumor	70	185	0.000016	0.000196
tumor	71	169	0.000015	0.00018
tumor	72	165	0.000015	0.000165
tumor	73	122	0.000011	0.00015
tumor	74	115	0.00001	0.000139
tumor	75	106	9.3734E-6	0.000129
tumor	76	127	0.000011	0.00012
tumor	77	83	7.33955E-6	0.000109
tumor	78	103	9.10812E-6	0.000101
tumor	79	82	7.25112E-6	0.000092
tumor	80	83	7.33955E-6	0.000085
tumor	81	74	6.5437E-6	0.000077
tumor	82	58	5.12884E-6	0.000071
tumor	83	60	5.3057E-6	0.000066
tumor	84	53	4.6867E-6	0.00006
tumor	85	53	4.6867E-6	0.000056
tumor	86	44	3.89085E-6	0.000051
tumor	87	41	3.62556E-6	0.000047
tumor	88	34	3.00656E-6	0.000044
tumor	89	44	3.89085E-6	0.000041
tumor	90	30	2.65285E-6	0.000037
tumor	91	35	3.09499E-6	0.000034
tumor	92	29	2.56442E-6	0.000031
tumor	93	27	2.38757E-6	0.000028
tumor	94	28	2.47599E-6	0.000026
tumor	95	15	1.32643E-6	0.000024
tumor	96	18	1.59171E-6	0.000022
tumor	97	16	1.41485E-6	0.000021
tumor	98	12	1.06114E-6	0.000019
tumor	99	9	7.95855E-7	0.000018
tumor	100	16	1.41485E-6	0.000017
tumor	101	9	7.95855E-7	0.000016
tumor	102	17	1.50328E-6	0.000015
tumor	103	11	9.72712E-7	0.000014
tumor	104	11	9.72712E-7	0.000013
tumor	105	10	8.84283E-7	0.000012
tumor	106	9	7.95855E-7	0.000011
tumor	107	9	7.95855E-7	9.9924E-6
tumor	108	4	3.53713E-7	9.19655E-6
tumor	109	10	8.84283E-7	8.84283E-6
tumor	110	6	5.3057E-7	7.95855E-6
tumor	111	5	4.42142E-7	7.42798E-6
tumor	112	6	5.3057E-7	6.98584E-6
tumor	113	10	8.84283E-7	6.45527E-6
tumor	114	6	5.3057E-7	5.57099E-6
tumor	115	5	4.42142E-7	5.04042E-6
tumor	116	3	2.65285E-7	4.59827E-6
tumor	117	4	3.53713E-7	4.33299E-6
tumor	118	3	2.65285E-7	3.97928E-6
tumor	119	5	4.42142E-7	3.71399E-6
tumor	120	5	4.42142E-7	3.27185E-6
tumor	121	2	1.76857E-7	2.82971E-6
tumor	122	2	1.76857E-7	2.65285E-6
tumor	124	2	1.76857E-7	2.47599E-6
tumor	125	2	1.76857E-7	2.29914E-6
tumor	126	3	2.65285E-7	2.12228E-6
tumor	127	2	1.76857E-7	1.857E-6
tumor	128	3	2.65285E-7	1.68014E-6
tumor	129	1	8.84283E-8	1.41485E-6
tumor	130	1	8.84283E-8	1.32643E-6
tumor	133	2	1.76857E-7	1.238E-6
tumor	135	1	8.84283E-8	1.06114E-6
tumor	136	1	8.84283E-8	9.72712E-7
tumor	137	1	8.84283E-8	8.84283E-7
tumor	138	1	8.84283E-8	7.95855E-7
tumor	140	1	8.84283E-8	7.07427E-7
tumor	144	1	8.84283E-8	6.18998E-7
tumor	145	1	8.84283E-8	5.3057E-7
tumor	146	2	1.76857E-7	4.42142E-7
tumor	150	1	8.84283E-8	2.65285E-7
tumor	154	1	8.84283E-8	1.76857E-7
tumor	160	1	8.84283E-8	8.84283E-8
normal	1	2195071	0.213427	1
normal	2	955221	0.092876	0.786573
normal	3	754122	0.073323	0.693697
normal	4	641512	0.062374	0.620373
normal	5	562053	0.054648	0.557999
normal	6	500773	0.04869	0.503351
normal	7	449962	0.04375	0.45466
normal	8	406120	0.039487	0.410911
normal	9	367740	0.035755	0.371423
normal	10	334020	0.032477	0.335668
normal	11	300958	0.029262	0.303191
normal	12	271447	0.026393	0.273929
normal	13	245947	0.023913	0.247536
normal	14	221666	0.021553	0.223623
normal	15	199876	0.019434	0.20207
normal	16	180247	0.017525	0.182636
normal	17	161826	0.015734	0.165111
normal	18	145779	0.014174	0.149376
normal	19	131483	0.012784	0.135202
normal	20	117709	0.011445	0.122418
normal	21	106101	0.010316	0.110973
normal	22	95300	0.009266	0.100657
normal	23	85765	0.008339	0.091391
normal	24	77160	0.007502	0.083052
normal	25	69334	0.006741	0.07555
normal	26	62793	0.006105	0.068808
normal	27	56452	0.005489	0.062703
normal	28	50868	0.004946	0.057214
normal	29	45914	0.004464	0.052268
normal	30	41952	0.004079	0.047804
normal	31	37813	0.003677	0.043725
normal	32	33947	0.003301	0.040049
normal	33	31170	0.003031	0.036748
normal	34	28089	0.002731	0.033717
normal	35	25472	0.002477	0.030986
normal	36	23318	0.002267	0.02851
normal	37	21328	0.002074	0.026242
normal	38	19380	0.001884	0.024169
normal	39	17704	0.001721	0.022284
normal	40	16380	0.001593	0.020563
normal	41	14774	0.001436	0.01897
normal	42	13514	0.001314	0.017534
normal	43	12428	0.001208	0.01622
normal	44	11359	0.001104	0.015011
normal	45	10473	0.001018	0.013907
normal	46	9639	0.000937	0.012889
normal	47	8912	0.000867	0.011952
normal	48	8287	0.000806	0.011085
normal	49	7507	0.00073	0.010279
normal	50	6931	0.000674	0.009549
normal	51	6422	0.000624	0.008875
normal	52	5794	0.000563	0.008251
normal	53	5352	0.00052	0.007688
normal	54	5074	0.000493	0.007167
normal	55	4924	0.000479	0.006674
normal	56	4251	0.000413	0.006195
normal	57	3952	0.000384	0.005782
normal	58	3660	0.000356	0.005398
normal	59	3569	0.000347	0.005042
normal	60	3327	0.000323	0.004695
normal	61	3004	0.000292	0.004371
normal	62	2743	0.000267	0.004079
normal	63	2533	0.000246	0.003812
normal	64	2459	0.000239	0.003566
normal	65	2163	0.00021	0.003327
normal	66	2038	0.000198	0.003117
normal	67	1888	0.000184	0.002919
normal	68	1777	0.000173	0.002735
normal	69	1718	0.000167	0.002562
normal	70	1535	0.000149	0.002395
normal	71	1366	0.000133	0.002246
normal	72	1329	0.000129	0.002113
normal	73	1303	0.000127	0.001984
normal	74	1186	0.000115	0.001857
normal	75	1040	0.000101	0.001742
normal	76	1037	0.000101	0.001641
normal	77	939	0.000091	0.00154
normal	78	871	0.000085	0.001449
normal	79	816	0.000079	0.001364
normal	80	804	0.000078	0.001285
normal	81	766	0.000074	0.001207
normal	82	692	0.000067	0.001132
normal	83	613	0.00006	0.001065
normal	84	574	0.000056	0.001005
normal	85	591	0.000057	0.000949
normal	86	518	0.00005	0.000892
normal	87	456	0.000044	0.000842
normal	88	472	0.000046	0.000797
normal	89	427	0.000042	0.000751
normal	90	392	0.000038	0.00071
normal	91	401	0.000039	0.000672
normal	92	405	0.000039	0.000633
normal	93	330	0.000032	0.000593
normal	94	335	0.000033	0.000561
normal	95	289	0.000028	0.000529
normal	96	305	0.00003	0.000501
normal	97	260	0.000025	0.000471
normal	98	247	0.000024	0.000446
normal	99	228	0.000022	0.000422
normal	100	238	0.000023	0.000399
normal	101	243	0.000024	0.000376
normal	102	186	0.000018	0.000353
normal	103	178	0.000017	0.000335
normal	104	186	0.000018	0.000317
normal	105	163	0.000016	0.000299
normal	106	156	0.000015	0.000283
normal	107	176	0.000017	0.000268
normal	108	147	0.000014	0.000251
normal	109	122	0.000012	0.000237
normal	110	122	0.000012	0.000225
normal	111	103	0.00001	0.000213
normal	112	106	0.00001	0.000203
normal	113	103	0.00001	0.000193
normal	114	93	9.0424E-6	0.000183
normal	115	84	8.16733E-6	0.000174
normal	116	96	9.33409E-6	0.000165
normal	117	77	7.48672E-6	0.000156
normal	118	75	7.29226E-6	0.000149
normal	119	69	6.70888E-6	0.000141
normal	120	73	7.0978E-6	0.000135
normal	121	71	6.90334E-6	0.000128
normal	122	63	6.1255E-6	0.000121
normal	123	54	5.25043E-6	0.000115
normal	124	47	4.56982E-6	0.000109
normal	125	54	5.25043E-6	0.000105
normal	126	52	5.05597E-6	0.000099
normal	127	40	3.8892E-6	0.000094
normal	128	43	4.1809E-6	0.000091
normal	129	35	3.40305E-6	0.000086
normal	130	37	3.59751E-6	0.000083
normal	131	40	3.8892E-6	0.000079
normal	132	41	3.98643E-6	0.000075
normal	133	38	3.69474E-6	0.000071
normal	134	40	3.8892E-6	0.000068
normal	135	27	2.62521E-6	0.000064
normal	136	26	2.52798E-6	0.000061
normal	137	35	3.40305E-6	0.000059
normal	138	25	2.43075E-6	0.000055
normal	139	21	2.04183E-6	0.000053
normal	140	19	1.84737E-6	0.000051
normal	141	22	2.13906E-6	0.000049
normal	142	16	1.55568E-6	0.000047
normal	143	20	1.9446E-6	0.000045
normal	144	19	1.84737E-6	0.000043
normal	145	24	2.33352E-6	0.000042
normal	146	15	1.45845E-6	0.000039
normal	147	17	1.65291E-6	0.000038
normal	148	19	1.84737E-6	0.000036
normal	149	18	1.75014E-6	0.000034
normal	150	17	1.65291E-6	0.000032
normal	151	16	1.55568E-6	0.000031
normal	152	20	1.9446E-6	0.000029
normal	153	12	1.16676E-6	0.000027
normal	154	14	1.36122E-6	0.000026
normal	155	10	9.72301E-7	0.000025
normal	156	7	6.80611E-7	0.000024
normal	157	11	1.06953E-6	0.000023
normal	158	11	1.06953E-6	0.000022
normal	159	7	6.80611E-7	0.000021
normal	160	11	1.06953E-6	0.00002
normal	161	4	3.8892E-7	0.000019
normal	162	8	7.77841E-7	0.000019
normal	163	13	1.26399E-6	0.000018
normal	164	6	5.83381E-7	0.000017
normal	165	11	1.06953E-6	0.000016
normal	166	7	6.80611E-7	0.000015
normal	167	3	2.9169E-7	0.000014
normal	168	6	5.83381E-7	0.000014
normal	169	5	4.86151E-7	0.000014
normal	170	5	4.86151E-7	0.000013
normal	171	6	5.83381E-7	0.000013
normal	172	5	4.86151E-7	0.000012
normal	173	7	6.80611E-7	0.000012
normal	174	4	3.8892E-7	0.000011
normal	175	3	2.9169E-7	0.000011
normal	176	4	3.8892E-7	0.00001
normal	177	6	5.83381E-7	9.82024E-6
normal	178	1	9.72301E-8	9.23686E-6
normal	179	5	4.86151E-7	9.13963E-6
normal	180	7	6.80611E-7	8.65348E-6
normal	181	1	9.72301E-8	7.97287E-6
normal	182	6	5.83381E-7	7.87564E-6
normal	183	4	3.8892E-7	7.29226E-6
normal	184	1	9.72301E-8	6.90334E-6
normal	185	2	1.9446E-7	6.80611E-6
normal	186	3	2.9169E-7	6.61165E-6
normal	187	1	9.72301E-8	6.31996E-6
normal	188	6	5.83381E-7	6.22273E-6
normal	189	2	1.9446E-7	5.63935E-6
normal	190	1	9.72301E-8	5.44489E-6
normal	191	3	2.9169E-7	5.34766E-6
normal	192	1	9.72301E-8	5.05597E-6
normal	193	4	3.8892E-7	4.95874E-6
normal	194	4	3.8892E-7	4.56982E-6
normal	195	2	1.9446E-7	4.1809E-6
normal	196	1	9.72301E-8	3.98643E-6
normal	197	2	1.9446E-7	3.8892E-6
normal	198	1	9.72301E-8	3.69474E-6
normal	200	4	3.8892E-7	3.59751E-6
normal	201	3	2.9169E-7	3.20859E-6
normal	202	1	9.72301E-8	2.9169E-6
normal	204	2	1.9446E-7	2.81967E-6
normal	205	2	1.9446E-7	2.62521E-6
normal	208	2	1.9446E-7	2.43075E-6
normal	209	3	2.9169E-7	2.23629E-6
normal	210	2	1.9446E-7	1.9446E-6
normal	214	3	2.9169E-7	1.75014E-6
normal	217	1	9.72301E-8	1.45845E-6
normal	220	2	1.9446E-7	1.36122E-6
normal	221	1	9.72301E-8	1.16676E-6
normal	225	1	9.72301E-8	1.06953E-6
normal	233	1	9.72301E-8	9.72301E-7
normal	236	1	9.72301E-8	8.75071E-7
normal	237	1	9.72301E-8	7.77841E-7
normal	252	1	9.72301E-8	6.80611E-7
normal	255	1	9.72301E-8	5.83381E-7
normal	259	1	9.72301E-8	4.86151E-7
normal	263	1	9.72301E-8	3.8892E-7
normal	280	1	9.72301E-8	2.9169E-7
normal	282	1	9.72301E-8	1.9446E-7
normal	306	1	9.72301E-8	9.72301E-8
