## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/ubuntu/projects/ctdna2/data/tmp/SRR13200966_ab_coord.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.markdup.bam --METRICS_FILE /home/ubuntu/projects/ctdna2/results/arm_a_standard_tumor_only/tumor.markdup_metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --TMP_DIR /home/ubuntu/projects/ctdna2/data/tmp --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Apr 12 20:56:26 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	31237	69144359	906794	31667	31226	64626218	0	0.934671	4518142

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
169.0	0	214	214
170.0	0	218	218
171.0	0	199	199
172.0	0	197	197
173.0	0	196	196
174.0	0	182	182
175.0	0	188	188
176.0	0	197	197
177.0	0	187	187
178.0	0	149	149
179.0	0	162	162
180.0	0	176	176
181.0	0	158	158
182.0	0	140	140
183.0	0	169	169
184.0	0	166	166
185.0	0	135	135
186.0	0	139	139
187.0	0	120	120
188.0	0	131	131
189.0	0	121	121
190.0	0	130	130
191.0	0	146	146
192.0	0	137	137
193.0	0	135	135
194.0	0	107	107
195.0	0	119	119
196.0	0	109	109
197.0	0	97	97
198.0	0	125	125
199.0	0	124	124
200.0	0	108	108
201.0	0	93	93
202.0	0	117	117
203.0	0	125	125
204.0	0	98	98
205.0	0	115	115
206.0	0	110	110
207.0	0	76	76
208.0	0	99	99
209.0	0	81	81
210.0	0	99	99
211.0	0	90	90
212.0	0	87	87
213.0	0	82	82
214.0	0	85	85
215.0	0	83	83
216.0	0	73	73
217.0	0	72	72
218.0	0	87	87
219.0	0	77	77
220.0	0	89	89
221.0	0	80	80
222.0	0	80	80
223.0	0	73	73
224.0	0	88	88
225.0	0	63	63
226.0	0	78	78
227.0	0	80	80
228.0	0	62	62
229.0	0	64	64
230.0	0	63	63
231.0	0	64	64
232.0	0	64	64
233.0	0	56	56
234.0	0	67	67
235.0	0	67	67
236.0	0	56	56
237.0	0	58	58
238.0	0	49	49
239.0	0	53	53
240.0	0	44	44
241.0	0	48	48
242.0	0	55	55
243.0	0	46	46
244.0	0	49	49
245.0	0	46	46
246.0	0	44	44
247.0	0	38	38
248.0	0	50	50
249.0	0	43	43
250.0	0	37	37
251.0	0	45	45
252.0	0	35	35
253.0	0	42	42
254.0	0	31	31
255.0	0	41	41
256.0	0	42	42
257.0	0	43	43
258.0	0	43	43
259.0	0	32	32
260.0	0	27	27
261.0	0	44	44
262.0	0	41	41
263.0	0	40	40
264.0	0	36	36
265.0	0	29	29
266.0	0	37	37
267.0	0	29	29
268.0	0	35	35
269.0	0	31	31
270.0	0	30	30
271.0	0	32	32
272.0	0	23	23
273.0	0	21	21
274.0	0	23	23
275.0	0	22	22
276.0	0	28	28
277.0	0	30	30
278.0	0	22	22
279.0	0	18	18
280.0	0	25	25
281.0	0	24	24
282.0	0	20	20
283.0	0	23	23
284.0	0	24	24
285.0	0	36	36
286.0	0	31	31
287.0	0	28	28
288.0	0	18	18
289.0	0	20	20
290.0	0	21	21
291.0	0	18	18
292.0	0	15	15
293.0	0	23	23
294.0	0	22	22
295.0	0	17	17
296.0	0	21	21
297.0	0	23	23
298.0	0	32	32
299.0	0	23	23
300.0	0	18	18
301.0	0	17	17
302.0	0	24	24
303.0	0	24	24
304.0	0	21	21
305.0	0	11	11
306.0	0	24	24
307.0	0	15	15
308.0	0	21	21
309.0	0	25	25
310.0	0	16	16
311.0	0	16	16
312.0	0	15	15
313.0	0	11	11
314.0	0	22	22
315.0	0	10	10
316.0	0	20	20
317.0	0	21	21
318.0	0	14	14
319.0	0	13	13
320.0	0	19	19
321.0	0	15	15
322.0	0	20	20
323.0	0	14	14
324.0	0	13	13
325.0	0	18	18
326.0	0	13	13
327.0	0	8	8
328.0	0	17	17
329.0	0	10	10
330.0	0	8	8
331.0	0	14	14
332.0	0	9	9
333.0	0	9	9
334.0	0	6	6
335.0	0	11	11
336.0	0	9	9
337.0	0	14	14
338.0	0	15	15
339.0	0	8	8
340.0	0	9	9
341.0	0	14	14
342.0	0	7	7
343.0	0	4	4
344.0	0	5	5
345.0	0	8	8
346.0	0	12	12
347.0	0	9	9
348.0	0	10	10
349.0	0	6	6
350.0	0	12	12
351.0	0	8	8
352.0	0	10	10
353.0	0	2	2
354.0	0	7	7
355.0	0	8	8
356.0	0	4	4
357.0	0	7	7
358.0	0	8	8
