## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT /home/ubuntu/projects/ctdna2/data/tmp/SRR13201012_ab_coord.bam --OUTPUT /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.markdup.bam --METRICS_FILE /home/ubuntu/projects/ctdna2/results/arm_b_standard_tumor_normal/normal.markdup_metrics.txt --OPTICAL_DUPLICATE_PIXEL_DISTANCE 2500 --TMP_DIR /home/ubuntu/projects/ctdna2/data/tmp --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --FLOW_MODE false --FLOW_DUP_STRATEGY FLOW_QUALITY_SUM_STRATEGY --FLOW_USE_END_IN_UNPAIRED_READS false --FLOW_USE_UNPAIRED_CLIPPED_END false --FLOW_UNPAIRED_END_UNCERTAINTY 0 --FLOW_UNPAIRED_START_UNCERTAINTY 0 --FLOW_SKIP_FIRST_N_FLOWS 0 --FLOW_Q_IS_KNOWN_END false --FLOW_EFFECTIVE_QUALITY_THRESHOLD 15 --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Apr 08 15:46:36 UTC 2026

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	31058	93804510	1514120	31424	31049	90008130	0	0.959535	3796380

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
162.0	0	536	536
163.0	0	532	532
164.0	0	539	539
165.0	0	550	550
166.0	0	480	480
167.0	0	512	512
168.0	0	527	527
169.0	0	498	498
170.0	0	481	481
171.0	0	452	452
172.0	0	482	482
173.0	0	431	431
174.0	0	420	420
175.0	0	429	429
176.0	0	415	415
177.0	0	393	393
178.0	0	385	385
179.0	0	362	362
180.0	0	381	381
181.0	0	341	341
182.0	0	377	377
183.0	0	362	362
184.0	0	336	336
185.0	0	351	351
186.0	0	332	332
187.0	0	330	330
188.0	0	342	342
189.0	0	309	309
190.0	0	320	320
191.0	0	286	286
192.0	0	296	296
193.0	0	300	300
194.0	0	288	288
195.0	0	296	296
196.0	0	312	312
197.0	0	256	256
198.0	0	270	270
199.0	0	285	285
200.0	0	247	247
201.0	0	235	235
202.0	0	273	273
203.0	0	238	238
204.0	0	274	274
205.0	0	234	234
206.0	0	239	239
207.0	0	260	260
208.0	0	200	200
209.0	0	227	227
210.0	0	226	226
211.0	0	231	231
212.0	0	169	169
213.0	0	188	188
214.0	0	181	181
215.0	0	211	211
216.0	0	196	196
217.0	0	169	169
218.0	0	214	214
219.0	0	201	201
220.0	0	173	173
221.0	0	178	178
222.0	0	176	176
223.0	0	167	167
224.0	0	158	158
225.0	0	153	153
226.0	0	156	156
227.0	0	152	152
228.0	0	165	165
229.0	0	151	151
230.0	0	167	167
231.0	0	142	142
232.0	0	150	150
233.0	0	124	124
234.0	0	145	145
235.0	0	132	132
236.0	0	113	113
237.0	0	145	145
238.0	0	120	120
239.0	0	141	141
240.0	0	124	124
241.0	0	124	124
242.0	0	130	130
243.0	0	128	128
244.0	0	102	102
245.0	0	140	140
246.0	0	117	117
247.0	0	119	119
248.0	0	116	116
249.0	0	110	110
250.0	0	101	101
251.0	0	93	93
252.0	0	79	79
253.0	0	101	101
254.0	0	97	97
255.0	0	114	114
256.0	0	84	84
257.0	0	86	86
258.0	0	83	83
259.0	0	92	92
260.0	0	88	88
261.0	0	80	80
262.0	0	77	77
263.0	0	82	82
264.0	0	75	75
265.0	0	91	91
266.0	0	73	73
267.0	0	73	73
268.0	0	76	76
269.0	0	85	85
270.0	0	75	75
271.0	0	74	74
272.0	0	74	74
273.0	0	91	91
274.0	0	69	69
275.0	0	68	68
276.0	0	68	68
277.0	0	61	61
278.0	0	55	55
279.0	0	69	69
280.0	0	73	73
281.0	0	66	66
282.0	0	71	71
283.0	0	67	67
284.0	0	65	65
285.0	0	62	62
286.0	0	80	80
287.0	0	43	43
288.0	0	66	66
289.0	0	52	52
290.0	0	53	53
291.0	0	56	56
292.0	0	51	51
293.0	0	40	40
294.0	0	52	52
295.0	0	51	51
296.0	0	78	78
297.0	0	54	54
298.0	0	38	38
299.0	0	46	46
300.0	0	37	37
301.0	0	41	41
302.0	0	40	40
303.0	0	50	50
304.0	0	40	40
305.0	0	40	40
306.0	0	42	42
307.0	0	53	53
308.0	0	46	46
309.0	0	43	43
310.0	0	40	40
311.0	0	45	45
312.0	0	40	40
313.0	0	43	43
314.0	0	25	25
315.0	0	34	34
316.0	0	36	36
317.0	0	37	37
318.0	0	31	31
319.0	0	36	36
320.0	0	36	36
321.0	0	38	38
322.0	0	36	36
323.0	0	34	34
324.0	0	30	30
325.0	0	31	31
326.0	0	30	30
327.0	0	34	34
328.0	0	38	38
329.0	0	25	25
330.0	0	25	25
331.0	0	40	40
332.0	0	34	34
333.0	0	28	28
334.0	0	31	31
335.0	0	30	30
336.0	0	22	22
337.0	0	18	18
338.0	0	27	27
339.0	0	27	27
340.0	0	27	27
341.0	0	30	30
342.0	0	17	17
343.0	0	26	26
344.0	0	22	22
345.0	0	25	25
346.0	0	29	29
347.0	0	17	17
348.0	0	20	20
349.0	0	22	22
350.0	0	14	14
351.0	0	16	16
352.0	0	22	22
353.0	0	17	17
354.0	0	23	23
355.0	0	19	19
356.0	0	30	30
357.0	0	20	20
358.0	0	17	17
359.0	0	14	14
360.0	0	25	25
361.0	0	18	18
362.0	0	18	18
363.0	0	20	20
364.0	0	19	19
365.0	0	20	20
366.0	0	20	20
367.0	0	25	25
368.0	0	14	14
369.0	0	14	14
370.0	0	14	14
371.0	0	18	18
372.0	0	17	17
373.0	0	15	15
374.0	0	16	16
375.0	0	17	17
376.0	0	15	15
377.0	0	8	8
378.0	0	8	8
379.0	0	8	8
380.0	0	14	14
381.0	0	7	7
382.0	0	12	12
383.0	0	17	17
384.0	0	16	16
385.0	0	13	13
386.0	0	7	7
387.0	0	14	14
388.0	0	15	15
389.0	0	11	11
390.0	0	13	13
391.0	0	16	16
392.0	0	9	9
393.0	0	17	17
394.0	0	19	19
395.0	0	20	20
396.0	0	8	8
397.0	0	11	11
398.0	0	5	5
399.0	0	13	13
400.0	0	5	5
401.0	0	15	15
402.0	0	12	12
403.0	0	14	14
404.0	0	8	8
405.0	0	9	9
406.0	0	10	10
407.0	0	16	16
408.0	0	10	10
409.0	0	7	7
410.0	0	12	12
411.0	0	4	4
412.0	0	7	7
